,IsRecentlyVerified,DateLastVerified,ID,DataProviderID,DataProvidersReference,OperatorID,OperatorsReference,UsageCost,Connections,NumberOfPoints,StatusTypeID,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.RelatedURL,AddressInfo.DistanceUnit,UsageTypeID,AddressInfo.ContactTelephone2,DateLastConfirmed
7005,False,2016-06-04T02:55:00Z,38481,26,45592,73.0,EV-Box EVB-P1345052,0.00 jaarabonnement,"[{'ID': 41992, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}, {'ID': 49695, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:55:00Z,3.0,2015-01-09T06:07:00Z,100,38827,Kleefstraat 8,Kleefstraat 8,Zwolle,8028 PR,159,52.53795,6.1698,http://www.ev-box.nl,0,,,
7006,False,2016-06-04T02:55:00Z,38482,26,34039,73.0,EV-Box EVB-P1243063,0.00 jaarabonnement,"[{'ID': 41993, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}, {'ID': 49696, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:55:00Z,3.0,2015-01-09T06:07:00Z,100,38828,Steinfurtstraat 1,Steinfurtstraat 1,Zwolle,8028 PP,159,52.53808,6.17552,http://www.ev-box.nl,0,,,
7007,False,2016-06-04T02:54:00Z,38226,26,47162,178.0,EVnetNL AL311,0.00 jaarabonnement,"[{'ID': 41737, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",2.0,50,2016-06-04T02:54:00Z,3.0,2015-01-09T06:07:00Z,100,38572,Kerkstraat 15A,Kerkstraat 15A,Dalfsen,7722 LR,159,52.485929,6.229868,http://www.evnet.nl,0,,,
7008,False,2016-06-04T02:54:00Z,38276,26,47163,178.0,EVnetNL AL312,0.00 jaarabonnement,"[{'ID': 41787, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",2.0,50,2016-06-04T02:54:00Z,3.0,2015-01-09T06:07:00Z,100,38622,Stationsweg,Stationsweg,Dalfsen,7722 HA,159,52.498686,6.260139,http://www.evnet.nl,0,,,
7009,False,2016-06-04T02:55:00Z,38452,26,47159,178.0,EVnetNL AL308,0.00 jaarabonnement,"[{'ID': 41963, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",2.0,50,2016-06-04T02:55:00Z,3.0,2015-01-09T06:07:00Z,100,38798,Ds. de Bruijnpassage,Ds. de Bruijnpassage,Oudleusen,7722 ST,159,52.532018,6.311511,http://www.evnet.nl,0,,,
7010,False,2019-09-02T05:32:00Z,131289,1,,23.0,43238,,"[{'ID': 183824, 'ConnectionTypeID': 30, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'Quantity': 1}]",1.0,50,2019-09-02T05:32:00Z,1.0,2019-09-02T05:32:00Z,200,131635,Herberg de Klomp,Vilsterseweg 10,Vilsteren,7734PD,159,52.5110807,6.3540541,,0,4.0,,
7011,False,2016-06-04T02:54:00Z,53960,26,67979,73.0,EV-Box EVB-P1453048,0.00 jaarabonnement,"[{'ID': 67460, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 5.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:54:00Z,3.0,2015-09-20T11:50:00Z,100,54306,te Kieftestraat 2A,te Kieftestraat 2A,Dalfsen,8151 BN,159,52.44818,6.34428,http://www.ev-box.nl,0,,,
7012,False,2016-06-04T02:54:00Z,38119,26,16859,162.0,Kroonplein 5,0.00 gratis,"[{'ID': 41630, 'ConnectionTypeID': 28, 'LevelID': 1, 'PowerKW': 2.3, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:54:00Z,3.0,2015-01-09T06:07:00Z,100,38465,Kroonplein 4,Kroonplein 4,Dalfsen,8151 AZ,159,52.445846,6.342437,,0,,,
7013,False,2016-06-04T02:54:00Z,37933,26,48640,178.0,EVnetNL REE516,0.00 jaarabonnement,"[{'ID': 41444, 'ConnectionTypeID': 25, 'LevelID': 1, 'PowerKW': 2.3, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:54:00Z,3.0,2015-01-09T06:07:00Z,100,38279,Schapenstraat 1,Schapenstraat 1,Raalte,8102 CM,159,52.386759,6.278203,http://www.evnet.nl,0,,,
7014,False,2016-06-04T02:54:00Z,37876,26,22853,,Toyota Morrenhof Raalte,0.00 gratis,"[{'ID': 41387, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",2.0,50,2016-06-04T02:54:00Z,3.0,2015-01-09T06:07:00Z,100,38222,Klipperweg 4,Klipperweg 4,Raalte,8102 HR,159,52.381578709005,6.2914860248566,http://www.morrenhof.nl,0,,,
